"","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"met_1","(N(1) + N(8))-acetylspermidine","Amino Acid","Polyamine Metabolism",57814,"LC/MS Pos Early",100016038,3080,188.1757,"",".","",""
"met_2","1-(1-enyl-oleoyl)-GPE (P-18:1)*","Lipid","Lysoplasmalogen",44621,"LC/MS Pos Late",100005372,1566,464.3136,"",".","",""
"met_3","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*","Lipid","Plasmalogen",52689,"LC/MS Pos Late",100009014,2154,766.5745,"",".","","HMDB11220"
"met_4","1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*","Lipid","Plasmalogen",52673,"LC/MS Pos Late",100009002,2270,724.5276,"",".","","HMDB11352"
"met_5","1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*","Lipid","Plasmalogen",52682,"LC/MS Pos Late",100009009,2226,742.5745,"",".","","HMDB11211"
"met_6","1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*","Lipid","Plasmalogen",52478,"LC/MS Pos Late",100009007,2443,744.5902,"",".","",""
"met_7","1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*","Lipid","Plasmalogen",52477,"LC/MS Pos Late",100009005,2600,702.5432,"",".","","HMDB11342"
"met_8","1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*","Lipid","Plasmalogen",52713,"LC/MS Pos Late",100009160,2218,716.5589,"",".","","HMDB11207"
"met_9","1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*","Lipid","Plasmalogen",52716,"LC/MS Pos Late",100009162,2454,718.5745,"","11146967","","HMDB11206"
"met_10","1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipid","Lysoplasmalogen",52474,"LC/MS Pos Late",100002875,1547,480.3449,"","10917802","","HMDB10407"
"met_11","1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipid","Lysoplasmalogen",39270,"LC/MS Pos Late",100003000,1558,438.2979,"",".","",""
"met_12","1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","Lipid","Plasmalogen",52475,"LC/MS Pos Late",100008999,2511,752.5589,"","9547058","","HMDB05779"
"met_13","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","Lipid","Plasmalogen",52748,"LC/MS Pos Late",100009225,2633,728.5589,"",".","","HMDB11376"
"met_14","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","Lipid","Plasmalogen",52614,"LC/MS Pos Late",100008919,2950,730.5745,"144371-68-6",".","","HMDB11375"
"met_15","1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipid","Lysoplasmalogen",39271,"LC/MS Pos Late",100003001,1649,466.3292,"",".","",""
"met_16","1,2-dilinolenoyl-GPC (18:3/18:3)*","Lipid","Phosphatidylcholine (PC)",53179,"LC/MS Pos Late",100009344,1800,778.5381,"",".","","HMDB08206"
"met_17","1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phosphatidylcholine (PC)",52603,"LC/MS Pos Late",100008903,2006,782.5694,"998-06-1","5288075","","HMDB08138"
"met_18","1,2-dilinoleoyl-GPE (18:2/18:2)*","Lipid","Phosphatidylethanolamine (PE)",53174,"LC/MS Pos Late",100009217,2083,740.5225,"","9546812","","HMDB09093"
"met_19","1,2-dipalmitoyl-GPC (16:0/16:0)","Lipid","Phosphatidylcholine (PC)",19130,"LC/MS Pos Late",100000657,2365,734.5694,"63-89-8","452110","","HMDB00564"
